,id,learner_id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
39,54781,bb41f50b-1907-4e43-bf48-1bb58274a2b5,2018-02-20 10:18:58 UTC,The course required more time than I realised,2018-02-16 14:30:02 UTC,2.23,2.0,23.0
40,54955,54b56210-4268-488d-b69c-49f86f6b003f,2018-02-20 13:05:40 UTC,I don’t have enough time,,,,
41,55072,1c092421-43b6-4040-86b4-9960fcb3d19e,2018-02-20 15:18:24 UTC,I prefer not to say,2018-02-12 11:21:26 UTC,1.5,1.0,5.0
42,55515,798f378b-858d-44ac-a254-0846625dc7e9,2018-02-20 21:10:26 UTC,The course was too easy,2018-02-20 21:09:54 UTC,3.2,3.0,20.0
43,55544,757e2448-38b7-4335-a0e7-08bb53f2344d,2018-02-20 21:29:32 UTC,The course required more time than I realised,2018-02-20 21:28:07 UTC,2.18,2.0,18.0
44,56195,3270a349-5005-4bc7-aa0a-1b3d1f3bfce8,2018-02-21 11:05:29 UTC,I prefer not to say,,,,
45,56460,3a80e6d0-7634-4213-abd7-00b66c532a69,2018-02-21 15:37:40 UTC,The course required more time than I realised,,,,
46,56528,79ce8bf7-8d5e-4b2a-bc09-542be53d0267,2018-02-21 17:04:07 UTC,The course won’t help me reach my goals,2018-02-21 17:01:18 UTC,1.5,1.0,5.0
47,58252,f9da37fe-f254-4ab7-a2b1-373c860b2e4e,2018-02-23 12:44:04 UTC,Other,2018-02-22 13:04:30 UTC,1.19,1.0,19.0
48,59061,29c93030-c6ea-406a-9d31-d2c4ab20ec76,2018-02-24 12:59:10 UTC,The course won’t help me reach my goals,2018-02-19 13:03:47 UTC,1.2,1.0,2.0
49,59108,54faa8b2-c655-4c63-ab6b-86f528a2be37,2018-02-24 14:13:02 UTC,Other,2018-02-22 14:51:20 UTC,3.2,3.0,20.0
50,59310,3525a122-d068-446d-99c5-8f8f7468c0f2,2018-02-24 20:03:33 UTC,The course was too hard,,,,
51,59387,2818f3f1-648d-4ae1-89fe-af60da8ef2ea,2018-02-24 22:32:09 UTC,The course was too easy,2018-02-06 22:18:18 UTC,1.2,1.0,2.0
52,60362,3ee79efd-e1f9-49f1-af99-36d38a4f1931,2018-02-26 00:39:15 UTC,Other,,,,
53,63550,36025d73-6f7f-4a3f-8ebf-6794b82cb0a6,2018-02-28 11:36:36 UTC,Other,2018-02-27 16:26:20 UTC,3.19,3.0,19.0
54,63966,151fefbf-fafb-42fc-a5a6-1f9f08840031,2018-02-28 17:09:56 UTC,I don’t have enough time,2018-02-12 05:18:42 UTC,1.8,1.0,8.0
55,64546,144b1a9b-1d26-402d-ba5e-ebec424524e7,2018-03-01 03:39:40 UTC,The course required more time than I realised,,,,
56,64847,f603eba7-48d7-4e7f-ab7d-4b4527b0c124,2018-03-01 11:39:16 UTC,Other,,,,
57,65208,251e6e41-be2d-43d3-9e30-28434559284a,2018-03-01 16:58:51 UTC,Other,2018-02-27 18:01:43 UTC,3.2,3.0,20.0
58,65497,4b0086c6-ad26-4eaa-8d5d-2ccc42c15959,2018-03-01 23:59:54 UTC,I don’t have enough time,2018-03-01 23:53:42 UTC,1.4,1.0,4.0
59,66213,6d3f6c48-7844-4168-a73a-1e9c1a8493cf,2018-03-02 18:04:08 UTC,I prefer not to say,,,,
60,66953,cb41991c-813f-457d-9b1c-a69c42dc56bc,2018-03-03 13:49:15 UTC,Other,2018-03-02 12:59:24 UTC,3.2,3.0,20.0
61,67956,91c1c891-7640-423f-a41d-50c8de1260f6,2018-03-04 16:48:41 UTC,Other,,,,
62,69182,ed1c0579-5888-4a6e-8cc7-f9d745c0052a,2018-03-05 15:01:00 UTC,Other,2018-03-02 23:20:41 UTC,1.13,1.0,13.0
63,69316,331fb17d-9031-4fa0-951d-7ef515d54e9e,2018-03-05 15:57:42 UTC,Other,,,,
64,69437,9b877d8f-5ffb-48df-86b2-7e75df810bd1,2018-03-05 16:38:31 UTC,The course won’t help me reach my goals,,,,
65,69997,930d1909-cb41-436e-915b-09784273c18e,2018-03-05 21:07:01 UTC,The course wasn’t what I expected,2018-02-19 16:09:45 UTC,1.13,1.0,13.0
66,70010,21e23ee0-3339-4bce-8364-9f9fe34c10dc,2018-03-05 21:15:07 UTC,I don’t have enough time,,,,
67,70016,e1745b1f-7eb8-4305-a5ca-64f008d0d2f1,2018-03-05 21:23:12 UTC,I don’t have enough time,2018-03-05 21:20:52 UTC,3.11,3.0,11.0
68,70190,ebfe406e-c055-4a7d-886d-96b3e15905ce,2018-03-05 23:21:21 UTC,The course won’t help me reach my goals,,,,
69,70510,de5990b9-ada9-43ac-a461-102c96c23df7,2018-03-06 06:03:43 UTC,The course required more time than I realised,2018-03-05 07:30:11 UTC,2.1,2.0,10.0
70,71992,5ccba61f-bcad-4dd0-9514-8d3404c35ea0,2018-03-07 07:55:11 UTC,The course was too easy,2018-03-06 18:56:09 UTC,2.6,2.0,6.0
71,72009,31d97415-4ed9-4705-9385-a362dbb649ec,2018-03-07 08:27:15 UTC,Other,2018-03-06 11:04:46 UTC,3.2,3.0,20.0
72,72369,76153b5e-80df-4b4f-b4bb-9480f346f0df,2018-03-07 14:49:39 UTC,The course was too hard,2018-03-07 14:48:30 UTC,3.2,3.0,20.0
73,73694,c139e6a1-f66f-4870-a720-db8363562560,2018-03-08 16:51:21 UTC,The course won’t help me reach my goals,2018-03-08 16:50:57 UTC,3.2,3.0,20.0
74,73856,51c350ad-3ee8-47e8-a148-aef919ff83a6,2018-03-08 20:27:54 UTC,The course won’t help me reach my goals,,,,
